TEST#=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
SYMBOL=,CONT  ,IGSS  ,IGSS  ,ICES  ,ICES  ,ICES  ,HVICES,HVICES,VTH   ,SAME  ,VTH   ,SAME  ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,IGSS  ,IGSS  
LIMIT=,0,100.0nA,100.0nA,1.200uA,2.000mA,2.000mA,2.800mA,2.800mA,4.500 V,6.5,4.500 V,6.5,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,100.0nA,100.0nA
COND.1=,0,20.0 V,20.0 V,100  V,500  V,800  V,1.00kV,1.20kV,25.0uA,9,250 uA,11,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,20.0 V,20.0 V
COND.2=,0,0,0,0,0,0,0,0,0,0,0,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIT=, ,nA,nA,uA,mA,mA,mA,mA,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,nA,nA
8,,25.360001,17.690001,84.980003,0.1387,0.2069,0.3047,0.4879,0.02806,0.02806,3.658,3.658,0.8399,,1.182,,1.399,,1.778,,2.072,,2.361,,2.606,,2.839,,3.287,,4.188,,4.936,,0.608,,0.8085,,0.9459,,1.213,,1.425,,1.593,,1.756,,1.908,,2.187,,2.682,,3.019,,17.059999,21.190001
9,,20.15,32.18,84.260002,0.1365,0.2018,0.2935,0.4695,0.02815,0.02815,3.678,3.678,0.8429,,1.187,,1.404,,1.785,,2.081,,2.373,,2.619,,2.853,,3.303,,4.21,,4.965,,0.6077,,0.8055,,0.9449,,1.209,,1.418,,1.585,,1.747,,1.897,,2.173,,2.662,,2.996,,24.290001,23.200001
10,,20.870001,26.49,83.129997,0.1334,0.195,0.279,0.4439,0.02816,0.02816,3.679,3.679,0.847,,1.195,,1.415,,1.799,,2.098,,2.391,,2.639,,2.874,,3.326,,4.234,,4.989,,0.609,,0.8083,,0.9459,,1.213,,1.425,,1.593,,1.757,,1.908,,2.187,,2.68,,3.017,,32.549999,22.889999
11,,20.57,35.799999,97.260002,0.1563,0.2283,0.3267,0.5131,0.02275,0.02275,3.628,3.628,0.8432,,1.193,,1.414,,1.802,,2.103,,2.399,,2.65,,2.888,,3.346,,4.268,,5.037,,0.606,,0.8063,,0.9439,,1.213,,1.427,,1.597,,1.761,,1.913,,2.194,,2.689,,3.028,,24.690001,26.65
12,,29.15,25.75,93.839996,0.1495,0.2166,0.3065,0.4806,0.02369,0.02369,3.642,3.642,0.8429,,1.192,,1.414,,1.801,,2.104,,2.4,,2.65,,2.887,,3.346,,4.268,,5.036,,0.6051,,0.8072,,0.9469,,1.215,,1.427,,1.597,,1.761,,1.913,,2.194,,2.691,,3.03,,26.190001,18.719999
13,,33,21.559999,90.260002,0.1443,0.21,0.2986,0.4697,0.02512,0.02512,3.654,3.654,0.8403,,1.186,,1.406,,1.79,,2.089,,2.383,,2.631,,2.868,,3.322,,4.236,,4.998,,0.6053,,0.808,,0.9475,,1.213,,1.43,,1.601,,1.765,,1.919,,2.199,,2.696,,3.034,,23.42,22.299999
14,,22.09,36.799999,91.989998,0.1482,0.2177,0.3134,0.4935,0.02461,0.02461,3.637,3.637,0.8405,,1.187,,1.406,,1.789,,2.089,,2.382,,2.63,,2.866,,3.319,,4.233,,4.992,,0.6073,,0.8102,,0.9501,,1.216,,1.432,,1.603,,1.768,,1.921,,2.202,,2.699,,3.037,,22.74,27.620001
15,,28.49,20.57,89.900002,0.145,0.2131,0.3076,0.4872,0.02559,0.02559,3.65,3.65,0.8383,,1.182,,1.4,,1.781,,2.078,,2.371,,2.619,,2.854,,3.306,,4.216,,4.973,,0.6057,,0.8062,,0.9487,,1.217,,1.429,,1.6,,1.765,,1.917,,2.198,,2.695,,3.034,,24.450001,17.15
16,,23.969999,14.79,88.519997,0.1431,0.2108,0.3052,0.4824,0.02619,0.02619,3.643,3.643,0.838,,1.18,,1.397,,1.776,,2.069,,2.36,,2.607,,2.839,,3.288,,4.191,,4.939,,0.6076,,0.8089,,0.9496,,1.214,,1.427,,1.596,,1.76,,1.911,,2.189,,2.683,,3.018,,19.190001,20.799999
17,,18.690001,21.450001,87.309998,0.1422,0.2119,0.311,0.4949,0.02695,0.02695,3.651,3.651,0.8371,,1.178,,1.393,,1.771,,2.066,,2.354,,2.599,,2.831,,3.279,,4.178,,4.924,,0.6099,,0.8122,,0.9549,,1.225,,1.44,,1.612,,1.779,,1.933,,2.215,,2.716,,3.057,,17.700001,22.190001
