TEST#=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
SYMBOL=,CONT  ,IGSS  ,IGSS  ,ICES  ,ICES  ,ICES  ,HVICES,HVICES,VTH   ,SAME  ,VTH   ,SAME  ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,IGSS  ,IGSS  
LIMIT=,0,100.0nA,100.0nA,1.200uA,2.000mA,2.000mA,2.800mA,2.800mA,4.500 V,6.5,4.500 V,6.5,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,100.0nA,100.0nA
COND.1=,0,20.0 V,20.0 V,100  V,500  V,800  V,1.00kV,1.20kV,25.0uA,9,250 uA,11,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,20.0 V,20.0 V
COND.2=,0,0,0,0,0,0,0,0,0,0,0,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIT=, ,nA,nA,uA,mA,mA,mA,mA,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,nA,nA
8,,3.77,5.92,0.3099,0.000455,0.000621,0.000799,0.001651,4.171,4.171,4.64,4.64,1.026,,1.325,,1.502,,1.795,,2.013,,2.23,,2.409,,2.58,,2.905,,3.547,,4.056,,0.7569,,0.9705,,1.111,,1.384,,1.596,,1.764,,1.925,,2.073,,2.344,,2.823,,3.149,,1.83,0.72
9,,0,0.05,0.2957,0.000454,0.000622,0.000897,0.00182,4.178,4.178,4.646,4.646,1.028,,1.329,,1.506,,1.799,,2.017,,2.235,,2.415,,2.585,,2.912,,3.557,,4.066,,0.7559,,0.9709,,1.115,,1.385,,1.592,,1.76,,1.92,,2.068,,2.338,,2.815,,3.141,,5.29,4.1
10,,3.45,9.83,0.3171,0.000469,0.000612,0.000822,0.0017,4.169,4.169,4.639,4.639,1.025,,1.325,,1.503,,1.795,,2.016,,2.233,,2.413,,2.584,,2.911,,3.557,,4.068,,0.7545,,0.9711,,1.109,,1.38,,1.59,,1.759,,1.92,,2.069,,2.34,,2.82,,3.149,,3.8,1.34
11,,4.09,1.59,0.389,0.000616,0.000822,0.001115,0.00224,4.11,4.11,4.589,4.589,1.012,,1.314,,1.494,,1.791,,2.014,,2.236,,2.419,,2.593,,2.925,,3.579,,4.101,,0.7477,,0.9615,,1.104,,1.372,,1.587,,1.753,,1.914,,2.062,,2.334,,2.814,,3.142,,4.6,1.54
12,,10.59,5.43,0.3858,0.000618,0.000804,0.001149,0.002402,4.115,4.115,4.592,4.592,1.01,,1.309,,1.487,,1.783,,2.007,,2.227,,2.409,,2.582,,2.913,,3.567,,4.086,,0.7486,,0.9622,,1.107,,1.376,,1.585,,1.756,,1.918,,2.067,,2.34,,2.824,,3.153,,1.29,10.05
13,,1.81,4.4,0.3953,0.000578,0.000792,0.001105,0.002319,4.112,4.112,4.588,4.588,1.01,,1.309,,1.487,,1.782,,2.003,,2.223,,2.405,,2.577,,2.907,,3.559,,4.077,,0.7476,,0.9607,,1.103,,1.374,,1.585,,1.751,,1.912,,2.06,,2.332,,2.813,,3.142,,2.25,0.36
14,,7.59,2.37,0.3768,0.000565,0.000784,0.001,0.002159,4.109,4.109,4.583,4.583,1.009,,1.305,,1.483,,1.776,,1.996,,2.214,,2.395,,2.567,,2.895,,3.544,,4.059,,0.7501,,0.966,,1.11,,1.382,,1.594,,1.766,,1.928,,2.079,,2.355,,2.845,,3.179,,1.5,5.47
15,,1.05,0.45,0.3432,0.000561,0.000729,0.00108,0.002069,4.097,4.097,4.569,4.569,1.005,,1.298,,1.473,,1.763,,1.98,,2.197,,2.376,,2.546,,2.872,,3.512,,4.019,,0.7503,,0.9645,,1.106,,1.377,,1.59,,1.759,,1.921,,2.07,,2.343,,2.829,,3.16,,3.47,2.37
16,,5.39,2.2,0.3308,0.000532,0.000701,0.000906,0.001885,4.113,4.113,4.583,4.583,0.986,,1.278,,1.452,,1.74,,1.956,,2.169,,2.345,,2.511,,2.828,,3.445,,3.926,,0.7508,,0.9671,,1.109,,1.379,,1.579,,1.755,,1.917,,2.065,,2.337,,2.818,,3.147,,3.8,1.17
17,,1.76,0.91,0.3199,0.000517,0.000667,0.000902,0.001745,4.115,4.115,4.584,4.584,0.987,,1.278,,1.451,,1.738,,1.952,,2.166,,2.34,,2.506,,2.821,,3.435,,3.915,,0.7522,,0.9667,,1.108,,1.38,,1.593,,1.761,,1.923,,2.073,,2.345,,2.829,,3.159,,6.69,1.16
